timestamp, name, index, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W]
2024/04/30 11:10:36.113, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.07 W
2024/04/30 11:10:37.114, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.07 W
2024/04/30 11:10:38.115, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.06 W
2024/04/30 11:10:39.116, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.03 W
2024/04/30 11:10:40.116, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.04 W
2024/04/30 11:10:41.117, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.07 W
2024/04/30 11:10:42.118, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.03 W
2024/04/30 11:10:43.119, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.08 W
2024/04/30 11:10:44.120, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.04 W
2024/04/30 11:10:45.121, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.06 W
2024/04/30 11:10:46.121, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.06 W
2024/04/30 11:10:47.122, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.05 W
2024/04/30 11:10:48.123, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.08 W
2024/04/30 11:10:49.124, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.10 W
2024/04/30 11:10:50.124, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.06 W
2024/04/30 11:10:51.125, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 0, 0 %, 4096 MiB, 4 MiB, 11.03 W
